"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-10-31,48200,"Valencia","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Santa Clarita",93,570700,0.00334036568213783,0.00263527758257203,0.0187433059621564,,,"2006-06","2006-Q2",602200,-0.0523082032547326,"2005-10"
2018-10-31,40548,"Reseda","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",94,531200,0.00625118393635158,0.00950209045990118,0.0581673306772908,,,"2006-08","2006-Q3",541700,-0.0193834225586118,"2006-05"
2018-10-31,275173,"Ridgewood","NY","New York-Newark-Jersey City","Queens County","New York",95,809200,-0.00209643605870021,0.0109945027486257,0.291207914472634,,,"2018-09","2018-Q3",810900,-0.00209643605870021,"2018-09"
2018-10-31,271326,"Central Southwest","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",96,134900,0.00671641791044776,0.0313455657492355,0.0817963111467522,,,"2018-10","2018-Q4",134900,0,"2018-10"
2018-10-31,403169,"West Rogers Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",97,195000,-0.000512557662737058,-0.0106544901065449,0.079734219269103,,,"2007-04","2007-Q2",268800,-0.274553571428571,"2002-11"
2018-10-31,270829,"East Village","NY","New York-Newark-Jersey City","New York County","New York",98,1362400,-0.0019778770786023,-0.00467562828755114,-0.0228087792282312,,,"2017-02","2017-Q1",1429100,-0.0466727310894969,"2016-08"
2018-10-31,275424,"South Dorchester","MA","Boston-Cambridge-Newton","Suffolk County","Boston",99,501100,0.00906161900926299,0.0338353620796369,0.0841627001298139,,,"2018-10","2018-Q4",501100,0,"2018-10"
2018-10-31,197044,"Park Slope","NY","New York-Newark-Jersey City","Kings County","New York",100,1295300,-0.0068241067320963,-0.022341308778021,-0.0422920517560074,,,"2018-02","2018-Q1",1365800,-0.0516180992824718,"2016-05"
2018-10-31,273973,"Hickory Ridge-South Riverdale","TN","Memphis","Shelby County","Memphis",101,111500,0.00631768953068592,0.0210622710622711,0.155440414507772,,,"2018-10","2018-Q4",111500,0,"2018-10"
2018-10-31,403558,"South Belt - Ellington","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",102,170800,0.00175953079178886,0.012448132780083,0.0769230769230769,,,"2018-10","2018-Q4",170800,0,"2018-10"
2018-10-31,13176,"Panorama City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",103,475600,0.00570945231550011,0.0175438596491228,0.079192194236442,,,"2006-09","2006-Q3",496400,-0.0419016921837228,"2006-04"
2018-10-31,274117,"Jackson Heights","NY","New York-Newark-Jersey City","Queens County","New York",104,567500,-0.00630362458413588,-0.00994417306350314,0.0926068540623797,,,"2018-08","2018-Q3",574800,-0.0127000695894224,"2018-07"
2018-10-31,238122,"Greater Fondren Southwest","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",105,162700,0.00867947923124613,0.0264984227129338,0.129077029840389,,,"2018-10","2018-Q4",162700,0,"2018-10"
2018-10-31,232166,"Clear Lake","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",106,228700,0.00571679859278804,0.02007136485281,0.0984630163304515,,,"2018-10","2018-Q4",228700,0,"2018-10"
2018-10-31,343869,"Northeast Raleigh","NC","Raleigh","Wake County","Raleigh",107,195200,0.00774393391843056,0.0284510010537408,0.0874651810584958,,,"2018-10","2018-Q4",195200,0,"2018-10"
2018-10-31,246678,"Princess Anne","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",108,331600,0,0.00241837968561064,0.0356027482823235,,,"2006-08","2006-Q3",334200,-0.00777977259126272,"2006-05"
2018-10-31,275471,"Southeast Colorado Springs","CO","Colorado Springs","El Paso County","Colorado Springs",109,215700,0.0107778819119025,0.0310707456978967,0.126370757180157,,,"2018-10","2018-Q4",215700,0,"2018-10"
2018-10-31,51128,"Brentwood","NY","New York-Newark-Jersey City","Suffolk County","Islip",110,297900,0.0170706725844998,0.0358136300417246,0.0956233909525561,,,"2007-05","2007-Q2",374700,-0.204963971176942,"2004-11"
2018-10-31,270886,"Midwood","NY","New York-Newark-Jersey City","Kings County","New York",111,943100,-0.00105920982946722,-0.00137653536637018,0.0725577163652906,,,"2018-08","2018-Q3",945400,-0.00243283266342289,"2018-07"
2018-10-31,273540,"East Colorado Springs","CO","Colorado Springs","El Paso County","Colorado Springs",112,252500,0.00758180367118915,0.0193782801776342,0.0907127429805616,,,"2018-10","2018-Q4",252500,0,"2018-10"
2018-10-31,45032,"East Elmhurst","NY","New York-Newark-Jersey City","Queens County","New York",113,720500,0.00516183035714286,0.0105189340813464,0.0855808347144794,,,"2018-10","2018-Q4",720500,0,"2018-10"
